Sample ID,Site,Date,Time,Time Zone,Type,Type2,Isotope/ICP pick list #,Acidified for ICPOES? (Y or N),MED Index Notes
RI25-1001,Potash,12/10/2024,9:00,EST,Isco,Stream,63,Y,MLG Missing GF/F sample currently.
RI25-1002,Potash,12/10/2024,12:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.
RI25-1003,Potash,12/10/2024,15:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.
RI25-1004,Potash,12/10/2024,18:00,EST,Isco,Stream,64,Y,MLG Missing GF/F sample currently.
RI25-1005,Potash,12/10/2024,21:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.
RI25-1006,Potash,12/11/2024,0:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.
RI25-1007,Potash,12/11/2024,3:00,EST,Isco,Stream,65,Y,MLG Missing GF/F sample currently.
RI25-1008,Potash,12/11/2024,6:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.
RI25-1009,Potash,12/11/2024,9:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.
RI25-1010,Potash,12/11/2024,12:00,EST,Isco,Stream,66,Y,MLG Missing GF/F sample currently.
RI25-1011,Potash,12/11/2024,15:00,EST,Isco,Stream,67,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1012,Potash,12/11/2024,18:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1013,Potash,12/11/2024,21:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1014,Potash,12/12/2024,0:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1015,Potash,12/12/2024,3:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1016,Potash,12/12/2024,6:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1017,Potash,12/12/2024,9:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1018,Potash,12/12/2024,12:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1019,Potash,12/12/2024,15:00,EST,Isco,Stream,68,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1020,Potash,12/12/2024,18:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1021,Potash,12/13/2024,12:00,EST,Grab,Stream,1,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently."
RI25-1022,Potash,12/28/2024,19:00,EST,Isco,Stream,,Y,MED
RI25-1023,Potash,12/29/2024,1:00,EST,Isco,Stream,,Y,MED
RI25-1024,Potash,12/29/2024,7:00,EST,Isco,Stream,69,Y,MED
RI25-1025,Potash,12/29/2024,13:00,EST,Isco,Stream,,Y,MED
RI25-1026,Potash,12/29/2024,19:00,EST,Isco,Stream,,Y,MED
RI25-1027,Potash,12/30/2024,1:00,EST,Isco,Stream,,Y,MED
RI25-1028,Potash,12/30/2024,7:00,EST,Isco,Stream,,Y,MED
RI25-1029,Potash,12/30/2024,13:00,EST,Isco,Stream,,Y,MED
RI25-1030,Potash,12/30/2024,19:00,EST,Isco,Stream,70,Y,MED
RI25-1031,Wade,12/10/2024,11:30,EST,Grab,Stream,2,Y,SB
RI25-1032,Wade,12/11/2024,14:45,EST,Grab,Stream,,Y,SB
RI25-1033,Hungerford,12/10/2024,18:00,EST,Baseflow,Endmember,71,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1034,Hungerford,12/10/2024,21:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1035,Hungerford,12/11/2024,0:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1036,Hungerford,12/11/2024,3:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1037,Hungerford,12/11/2024,6:00,EST,Isco,Stream,72,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1038,Hungerford,12/11/2024,9:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1039,Hungerford,12/11/2024,12:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1043,Wade,12/13/2024,15:00,EST,Isco,Stream,73,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1044,Wade,12/13/2024,17:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type"
RI25-1061,Wade,12/11/2024,15:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently."
