Sample ID,dD,d18O,NRS Lab Comments
RI25-1001,-75.664,-11.09,
RI25-1004,-76.422,-11.118,
RI25-1010,-73.962,-11,
RI25-1011,-74.252,-11.02,
RI25-1019,-87.083,-12.566,
RI25-1021,-82.559,-11.902,
RI25-1024,-73.68,-10.827,
RI25-1030,-77.762,-11.486,
RI25-1031,-77.185,-11.686,
RI25-1037,-83.194,-12.127,
RI25-1043,-80.31,-12.085,
RI25-1063,-89.444,-13.221,
RI25-1066,-84.484,-12.571,
RI25-1068,-81.22,-11.855,
RI25-1072,-87.144,-12.429,
RI25-1076,-81.317,-11.742,
RI25-1077,-74.671,-10.847,
RI25-1078,-76.556,-11.257,
RI25-1082,-75.49,-11.083,
RI25-1088,-78.875,-11.499,
RI25-1089,-89.041,-13.209,
RI25-1092,-82.111,-12.313,
RI25-1096,-93.421,-13.886,
RI25-1100,-89.242,-13.371,
RI25-1104,-87.764,-13.107,
RI25-1108,-92.101,-13.633,
RI25-1109,-71.444,-10.547,
RI25-1110,-70.493,-10.48,
RI25-1111,-78.977,-12.013,
RI25-1112,-127.762,-17.778,
RI25-1113,-132.014,-18.18,
RI25-1114,-152.448,-22.053,
RI25-1115,-81.293,-12.148,
RI25-1116,-63.812,-9.538,
RI25-1117,-89.041,-12.763,
RI25-1121,-55.86,-8.628,
RI25-1122,-85.136,-12.218,
RI25-1123,-76.484,-11.243,
RI25-1124,-63.046,-9.42,
RI25-1125,-96.976,-14.06,
RI25-1126,-77.4,-11.782,
RI25-1127,-155.884,-21.394,
RI25-1128,-152.074,-21.458,
RI25-1129,-149.428,-20.472,
RI25-1130,-140.18,-19.376,
RI25-1131,-72.096,-10.637,
RI25-1132,-107.579,-14.984,
RI25-1133,-110.149,-15.173,
RI25-1134,-72.864,-10.753,
RI25-1138,-79.567,-11.506,
RI25-1143,-91.634,-13.063,
RI25-1144,-88.849,-13.047,
RI25-1148,-88.108,-13.005,
RI25-1149,-79.002,-11.277,
RI25-1151,-102.856,-14.779,
RI25-1154,-89.027,-13.027,
RI25-1158,-103.523,-14.848,
RI25-1159,-78.663,-11.566,
RI25-1164,-97.864,-13.682,
RI25-1165,-81.817,-11.265,
RI25-1168,-92.73,-12.982,
RI25-1169,-99.583,-14.35,
RI25-1171,-103.113,-14.492,
RI25-1172,-99.765,-13.87,
RI25-1181,-84.283,-12.089,
RI25-1182,-82.639,-11.809,
RI25-1183,-89.087,-12.991,
RI25-1184,-84.069,-11.972,
RI25-1189,-80.156,-11.505,
RI25-1194,-90.138,-13.015,
RI25-1198,-93.285,-13.469,
RI25-1199,-90.826,-13.061,
RI25-1200,-97.252,-13.486,
RI25-1201,-92.245,-13.659,
RI25-1202,-82.382,-11.898,
RI25-1203,-85.523,-12.244,
RI25-1204,-109.407,-15.655,
RI25-1205,-82.162,-11.842,
RI25-1206,-108.826,-15.571,
RI25-1210,-102.889,-14.769,
RI25-1214,-108.006,-15.463,
RI25-1215,-97.139,-14.039,
RI25-1216,-98.455,-14.242,
RI25-1217,-97.306,-14.064,
RI25-1218,-104.281,-15.01,
RI25-1219,-103.149,-14.926,
RI25-1220,-100.77,-14.61,
RI25-1221,-94.08,-13.653,
RI25-1226,-76,-11.035,
RI25-1227,-161.961,-22.037,
RI25-1228,-112.538,-15.487,
RI25-1229,-144.825,-19.965,
RI25-1230,-116.792,-15.922,
RI25-1232,-95.081,-13.774,
RI25-1233,-94.145,-13.583,This vial didn't seem to be included in the original sample list. All info written on the vial has been entered here.
RI25-1238,-106.627,-15.144,
RI25-1245,-84.797,-12.17,
RI25-1251,-86.751,-12.373,
RI25-1257,-87.438,-12.538,
RI25-1261,-70.838,-10.509,
RI25-1262,-74.072,-10.991,
RI25-1265,-81.485,-11.707,
RI25-1269,-82.814,-11.798,
RI25-1273,-82.533,-11.797,
RI25-1278,-75.127,-10.963,
RI25-1281,-74.87,-10.876,
RI25-1282,-81.015,-11.717,
RI25-1283,-79.91,-11.55,
RI25-1284,-78.998,-11.5,
RI25-1285,-81.862,-11.874,
RI25-1286,-104.657,-14.507,
RI25-1287,-82.365,-10.962,I reran this sample the next day; low d-excess remained consistant. Values reported are from the original 6/10 run.
RI25-1288,-69.765,-10.385,
RI25-1289,-86.101,-12.481,
RI25-1291,-107.409,-15.58,
RI25-1292,-106.317,-15.3,
RI25-1293,-104.567,-15.077,
RI25-1294,-103.858,-14.944,
RI25-1295,-99.884,-14.486,
RI25-1297,-99.37,-14.488,
RI25-1299,-97.995,-14.21,
RI25-1300,-97.736,-14.225,
RI25-1301,-113.637,-15.855,
RI25-1302,-94.787,-13.739,
RI25-1303,-99.429,-14.454,
RI25-1304,-84.147,-11.896,
RI25-1305,-113.574,-16.037,
RI25-1306,-110.886,-15.606,
