2.00	51.96	31.51	16.03	NaN	-85.09	-12.66	-0.05	55.39	0.02	0.07	3.51	8.09	0.08	21.93	0.18	0.00	3.46
2.00	12.27	5.68	5.45	1.98	-93.85	-13.71	0.72	12.76	0.01	0.11	5.81	2.57	0.08	5.43	0.45	0.00	0.90
2.00	12.71	5.27	5.96	1.85	-94.38	-13.47	0.03	10.77	0.02	0.10	5.22	2.41	0.05	5.34	0.39	0.00	0.68
2.00	12.75	6.52	4.97	1.88	-92.42	-13.29	0.03	12.30	0.02	0.09	5.90	3.03	0.04	5.85	0.47	0.00	0.99
2.00	15.57	9.88	6.04	1.69	-90.41	-13.51	0.12	15.82	0.02	0.07	4.58	3.01	0.06	6.66	0.31	0.01	0.96
2.00	16.84	9.01	5.50	1.66	-91.77	-13.15	0.04	18.34	0.01	0.06	5.98	3.60	0.04	7.77	0.39	-0.01	0.94
2.00	48.69	36.53	14.54	NaN	-82.44	-11.89	-0.07	58.18	0.01	0.12	3.59	9.82	0.09	23.33	0.17	-0.01	3.34
2.00	50.05	35.24	15.76	NaN	-84.61	-12.03	-0.04	58.63	0.02	0.11	3.65	9.38	0.09	23.08	0.19	-0.01	3.39
2.00	51.50	36.43	15.67	NaN	-83.48	-11.99	-0.05	54.94	0.01	0.08	3.37	8.82	0.08	21.97	0.17	-0.01	3.47
2.00	13.41	5.20	6.50	1.82	-95.19	-13.72	0.03	11.90	0.00	0.10	5.43	2.67	0.02	6.70	0.29	-0.02	0.82
2.00	14.48	5.37	6.99	1.85	-94.80	-13.63	0.02	13.34	0.01	0.12	6.35	2.98	0.05	7.05	0.41	0.00	0.63
2.00	15.28	5.56	7.37	1.77	-91.87	-13.37	0.03	14.61	0.00	0.12	6.65	3.07	0.03	8.14	0.31	-0.01	0.91
2.00	21.63	8.03	10.29	1.49	-87.96	-12.89	0.42	19.68	0.01	0.11	5.63	3.82	0.06	11.14	0.23	0.00	1.65
2.00	35.86	22.75	11.21	NaN	-79.90	-11.68	-0.02	39.40	0.01	0.05	2.56	6.98	0.04	17.82	0.10	-0.01	2.67
2.00	16.14	6.43	4.83	1.88	-74.70	-11.06	0.01	13.61	0.02	0.08	5.28	2.91	0.03	7.24	0.44	0.00	1.21
2.00	25.16	10.94	6.44	1.65	-74.00	-11.10	0.00	19.66	0.01	0.05	4.83	3.98	0.04	11.12	0.33	-0.01	1.34
3.00	40.44	21.61	8.89	NaN	-75.97	-11.05	-0.01	45.54	0.01	0.03	2.28	7.48	0.02	19.23	0.10	0.00	3.04
3.00	14.26	4.07	4.27	1.65	-82.86	-12.07	0.07	10.58	0.01	0.07	4.62	2.12	0.05	6.91	0.27	0.01	0.68
3.00	15.07	4.88	3.91	1.72	-80.38	-11.68	0.03	11.01	0.02	0.08	4.78	2.20	0.05	6.89	0.34	0.00	0.60
3.00	36.69	15.82	7.03	NaN	-76.76	-11.24	-0.01	32.49	0.01	0.06	2.41	5.59	0.06	17.17	0.13	0.00	2.54
